"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"","","","","","","","","","","","","","","","Rotten Tomatoes","81%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","66/100","","","","","","","","","","","",""
"253","A Night at the Opera","1935","Passed","15 Nov 1935","96 min","Comedy, Music, Musical","Sam Wood, Edmund Goulding","George S. Kaufman (screen play), Morrie Ryskind (screen play), James Kevin McGuinness (from a story by)","Groucho Marx, Chico Marx, Harpo Marx, Kitty Carlisle","A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.","English, Italian","USA","1 win.","https://m.media-amazon.com/images/M/MV5BYTJmNmQxNGItNDNlMC00MDU3LWFhNzMtZDQ2NDY0ZTVkNjE3XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","30,124","tt0026778","movie","N/A","N/A","Metro Goldwyn Mayer","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","98%","","","","","","","","","","","",""
"254","Westender","2003","PG-13","01 Jun 2003","105 min","Drama, Fantasy","Brock Morse","Jefferson O.S. Brassfield, Brock Morse (story)","Blake Stadel, Rob Simonsen, John Rankin, Darlene Dadras","Set in a fictional medieval world, this is the story of Asbrey of Westender. Once a great heroic knight, he has mysteriously fallen from grace. One night he drunkenly bets and loses his ...","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BMTk1MDY0NDMxMF5BMl5BanBnXkFtZTcwNjYwMzYzMQ@@._V1_SX300.jpg","Internet Movie Database","4.6/10","N/A","4.6","282","tt0365918","movie","N/A","N/A","N/A","N/A","True","",""
"257","Charlotte's Web","1973","G","01 Mar 1973","94 min","Animation, Family, Musical","Charles A. Nichols, Iwao Takamoto","E.B. White (book), Earl Hamner Jr. (story)","Debbie Reynolds, Paul Lynde, Henry Gibson, Rex Allen","A gentle and wise grey spider with a flair for promotion pledges to save a young pig from slaughter for dinner food.","English","USA","1 win.","https://m.media-amazon.com/images/M/MV5BNzZiNWQ5ZDYtNjViNS00NTIwLWI3ZWItYjUxMzM1ZTFhN2EyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.9/10","73","6.9","16,604","tt0070016","movie","N/A","N/A","Paramount Pictures, Hanna-Barbera Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","77%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","73/100","","","","","","","","","","","",""
"260","Marat/Sade","1967","Not Rated","13 Apr 1967","116 min","Drama, History, Music","Peter Brook","Peter Weiss (play), Geoffrey Skelton (English translation by), Adrian Mitchell (verse adaptation), Adrian Mitchell (screen adaptation)","Patrick Magee, Ian Richardson, Michael Williams, Clifford Rose","In an insane asylum, Marquis de Sade directs Jean Paul Marat's last days through a theater play. The actors are the patients.","English","UK","2 wins.","https://m.media-amazon.com/images/M/MV5BZDU1N2ZjNjEtY2ZkOS00MzJkLThmMWMtYzdjYTQ2NWE1Y2JlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","2,107","tt0060668","movie","N/A","N/A","N/A","N/A","True","",""
"261","The Big Clock","1948","Not Rated","09 Apr 1948","95 min","Crime, Drama, Film-Noir, Mystery, Thriller","John Farrow","Jonathan Latimer (screenplay), Kenneth Fearing (novel)","Ray Milland, Charles Laughton, Maureen O'Sullivan, George Macready","After murdering someone, a magazine tycoon tries to frame an unknown, innocent man for the murder instead, while the innocent man tries to solve the murder himself.","English","USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BYjM0ODQ2N2ItNDRmMC00MjZkLWI1NmUtN2U5NTI4MGEzMmE5XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","7,436","tt0040160","movie","N/A","N/A","Paramount Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","100%","","","","","","","","","","","",""
"262","Herbie Rides Again","1974","G","06 Jun 1974","88 min","Comedy, Family, Fantasy, Romance","Robert Stevenson","Bill Walsh (screenplay), Gordon Buford (story)","Helen Hayes, Ken Berry, Stefanie Powers, John McIntire","The living Volkswagen Beetle helps an old lady protect her home from a corrupt developer.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BZjU1Mjc4YjUtZjVjOC00NTdjLTg2NWItMTQ1NTExODdhNTk1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg","Internet Movie Database","5.7/10","49","5.7","7,256","tt0071607","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","80%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","49/100","","","","","","","","","","","",""
"266","Saudade Do Futuro","2000","N/A","14 Mar 2001","92 min","Documentary, Music","Cesar Paes","Marie Clémence Andriamonta-Paes, Cesar Paes","Luiza Erundina, Fábio Freire, Ezequias Lira, Thomas Rohrer","Dreaming of a better life, migrants from the Northeast of Brazil speak about the city of São Paulo, and sing it in prose, songs, stories and multiple sounds.","Portuguese","Brazil, France, Belgium","2 wins & 1 nomination.","https://m.media-amazon.com/images/M/MV5BMjAzMzI0Mzk2N15BMl5BanBnXkFtZTcwNDE3MzUyMQ@@._V1_SX300.jpg","Internet Movie Database","6.6/10","57","6.6","38","tt0261971","movie","18 May 2004","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","80%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","57/100","","","","","","","","","","","",""
"268","The Final Countdown","1980","PG","01 Aug 1980","103 min","Action, Sci-Fi","Don Taylor","Thomas Hunter (story), Peter Powell (story), David Ambrose (story), David Ambrose (screenplay), Gerry Davis (screenplay), Thomas Hunter (screenplay), Peter Powell (screenplay)","Kirk Douglas, Martin Sheen, Katharine Ross, James Farentino","A modern aircraft carrier is thrown back in time to 1941 near Hawaii, just hours before the Japanese attack on Pearl Harbor.","English, Japanese, Russian","USA","1 win & 2 nominations.","https://m.media-amazon.com/images/M/MV5BOGU5Y2UzZjMtY2M0ZC00YzE4LWJmYjYtNWNiMTlhNDEzMmViXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg","Internet Movie Database","6.7/10","51","6.7","21,018","tt0080736","movie","N/A","N/A","United Artists, The Bryna Company","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","47%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","51/100","","","","","","","","","","","",""
"269","Parenthood","1989","PG-13","02 Aug 1989","124 min","Comedy, Drama","Ron Howard","Lowell Ganz (story), Babaloo Mandel (story), Ron Howard (story), Lowell Ganz (screenplay), Babaloo Mandel (screenplay)","Steve Martin, Mary Steenburgen, Dianne Wiest, Jason Robards","The Buckmans are a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse.","English, Spanish","USA","Nominated for 2 Oscars. Another 4 wins & 12 nominations.","https://m.media-amazon.com/images/M/MV5BMTQ3OTIwNzI2OV5BMl5BanBnXkFtZTgwNjgwNTcxMTE@._V1_SX300.jpg","Internet Movie Database","7.0/10","82","7.0","43,835","tt0098067","movie","N/A","N/A","Image Entertainment Inc., Universal Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","91%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","82/100","","","","","","","","","","","",""
"272","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"273","Taxi","2004","PG-13","06 Oct 2004","97 min","Action, Comedy, Crime, Thriller","Tim Story","Luc Besson (earlier screenplay), Robert Ben Garant (screenplay), Thomas Lennon (screenplay), Jim Kouf (screenplay)","Queen Latifah, Jimmy Fallon, Henry Simmons, Jennifer Esposito","A mouthy and feisty taxicab driver has hot tips for a green and inept cop set on solving a string of New York City bank robberies committed by a quartet of female Brazilian bank robbers.","English, Portuguese, Spanish","USA, France","3 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BYTY5OWUyMTctMGU3OC00MWM5LTk0NDMtMDU2N2NkMTFjYTM0XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_SX300.jpg","Internet Movie Database","4.5/10","27","4.5","39,645","tt0316732","movie","N/A","N/A","20th Century Fox","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","9%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","27/100","","","","","","","","","","","",""
"274","Crazy as Hell","2002","R","06 Feb 2002","113 min","Drama, Thriller","Eriq La Salle","Jeremy Leven (novel), Jeremy Leven (screenplay), Erik Jendresen (screenplay)","Michael Beach, Ronny Cox, Sinbad, Jane Carr","Psychiatrist Ty Adams doesn't believe in using drugs, but the head of Sedah State Hospital does, then 'Satan' arrives ~ walk-in patient extraordinaire... From there it's a full-on freaky ride.","English","USA","1 win & 2 nominations.","https://m.media-amazon.com/images/M/MV5BMTIwNTMzMzk5MV5BMl5BanBnXkFtZTYwMzk0Njk2._V1_SX300.jpg","Internet Movie Database","5.9/10","33","5.9","942","tt0285487","movie","N/A","N/A","Humble Journey Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","53%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","33/100","","","","","","","","","","","",""
"275","Evelyn","2002","PG","25 Dec 2002","94 min","Drama","Bruce Beresford","Paul Pender","Sophie Vavasseur, Niall Beagan, Hugh McDonagh, Pierce Brosnan","Desmond's wife leaves him and their 3 kids after Christmas 1953. Unemployed in Dublin, the authorities place the kids in orphanages. Employed again, Desmond tries to get his kids back.","English","USA, Germany, Ireland, UK, Netherlands","4 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMTYwNjUwNTkxOF5BMl5BanBnXkFtZTYwMzA1MDg5._V1_SX300.jpg","Internet Movie Database","7.0/10","55","7.0","6,243","tt0298856","movie","N/A","N/A","United Artists","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","64%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","55/100","","","","","","","","","","","",""
"279","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"280","Sarah Brightman in Concert","1998","N/A","N/A","75 min","Music","David Mallet","N/A","Sarah Brightman, Andrea Bocelli, Andrew Lloyd Webber, Adam Clarke","Singer Sarah Brightman's first recorded concert. Featuring many hit songs and cameos by Andrew Lloyd Webber and Andrea Bocelli.","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BMjEzMDE4NzU4MF5BMl5BanBnXkFtZTcwNDA2OTEyMQ@@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","85","tt0500095","movie","02 May 2000","N/A","N/A","N/A","True","",""
"281","The Legend","1993","R","04 Mar 1993","100 min","Action, Comedy, History","Corey Yuen","Kin Chung Chan, Susan Godfrey (english adaptation), Jeffrey Lau, Jack Maeby (english adaptation), Kevin Tsai","Jet Li, Josephine Siao, Michelle Reis, Wenzhuo Zhao","This Hong Kong martial-arts extravaganza tells of evil emperors and true love. The secret Red Lotus Flower Society is committed to the overthrow of the evil Manchu Emperor and his minions. ...","Cantonese","Hong Kong","3 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BYzU0OTY5NDYtMjJlMC00MzE4LWI4N2EtZjBhOGRhMGNkYzIzXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg","Internet Movie Database","7.2/10","N/A","7.2","7,290","tt0106936","movie","N/A","N/A","Eastern Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","89%","","","","","","","","","","","",""
"283","If These Walls Could Talk","1996","R","13 Oct 1996","97 min","Drama, Thriller","Cher, Nancy Savoca","Pamela Wallace (story), Earl W. Wallace (story), Nancy Savoca (story), Nancy Savoca (teleplay), Susan Nanus, Nancy Savoca, I. Marlene King (story), I. Marlene King (teleplay), Nancy Savoca (teleplay)","Demi Moore, Shirley Knight, Catherine Keener, Jason London","The movie examines the abortion issue through three stories set in different eras: 1952, 1974 and 1996.","English","USA","Nominated for 3 Golden Globes. Another 4 wins & 12 nominations.","https://m.media-amazon.com/images/M/MV5BODUwMzdjMjgtMDQ4My00ZGNkLTg0ZDktMGJjZjg4YmUxZjVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","7.0/10","N/A","7.0","3,908","tt0116607","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","88%","","","","","","","","","","","",""
"284","Sasquatch Hunters","2005","R","12 Apr 2005","88 min","Action, Horror, Thriller","Fred Tepper","Alain Matz (screenplay), Alain Matz (story), Fred Tepper (story), Tom Zimmerman (story)","Matt Lattimore, Amy Shelton-White, Kevin O'Connor, Gary Sturm","People go on an expedition to find the legendary sasquatch, and something starts killing them off.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjE3NjU4NjMyMl5BMl5BanBnXkFtZTcwMzM4NzgyMQ@@._V1_SX300.jpg","Internet Movie Database","3.4/10","N/A","3.4","427","tt0339531","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","32%","","","","","","","","","","","",""
"285","The Devil's Own","1997","R","26 Mar 1997","111 min","Action, Crime, Drama, Thriller","Alan J. Pakula","Kevin Jarre (story), David Aaron Cohen (screenplay), Vincent Patrick (screenplay), Kevin Jarre (screenplay)","Harrison Ford, Brad Pitt, Margaret Colin, Rubén Blades","A police officer uncovers the real identity of his house-guest, an I.R.A. terrorist in hiding.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BMTYzMDA1OTc4OF5BMl5BanBnXkFtZTgwODc2MzkyMTE@._V1_SX300.jpg","Internet Movie Database","6.2/10","53","6.2","58,001","tt0118972","movie","N/A","N/A","Columbia Pictures Corporation","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","35%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","53/100","","","","","","","","","","","",""
"286","Thunderbirds Are GO","1966","G","01 Jul 1968","93 min","Animation, Action, Sci-Fi","David Lane","Gerry Anderson, Sylvia Anderson","Sylvia Anderson, Ray Barrett, Alexander Davion, Peter Dyneley","When the launch of a mission to Mars goes awry due to sabotage, International Rescue is requested to assist in the mission's second attempt.","English","UK","N/A","https://m.media-amazon.com/images/M/MV5BNDI5NTI1MzMxOF5BMl5BanBnXkFtZTcwNTUyMTM4NA@@._V1_SX300.jpg","Internet Movie Database","6.5/10","N/A","6.5","1,980","tt0061094","movie","N/A","N/A","Associated Television","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","57%","","","","","","","","","","","",""
"288","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"289","The Avengers","1998","PG-13","14 Aug 1998","89 min","Action, Adventure, Sci-Fi, Thriller","Jeremiah S. Chechik","Sydney Newman (television series The Avengers), Don MacPherson","Ralph Fiennes, Uma Thurman, Sean Connery, Patrick Macnee","Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.","English","USA","4 wins & 17 nominations.","https://m.media-amazon.com/images/M/MV5BYWE1NTdjOWQtYTQ2Ny00Nzc5LWExYzMtNmRlOThmOTE2N2I4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg","Internet Movie Database","3.8/10","12","3.8","40,524","tt0118661","movie","N/A","N/A","Warner Brothers","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","5%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","12/100","","","","","","","","","","","",""
"290","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"292","Saturday Night Live: The Best of Gilda Radner","2005","N/A","06 Sep 2005","92 min","Comedy","Tom Schiller, James Signorelli, Dave Wilson","N/A","Gilda Radner","A compilation of Gilda Radner's funniest skits and most memorable characters from the first five years of Saturday Night Live.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTM5NzAyODUxMl5BMl5BanBnXkFtZTcwNTE5MjIyMQ@@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","97","tt1093390","movie","N/A","N/A","N/A","N/A","True","",""
"293","Lennon Legend: The Very Best of John Lennon","2003","N/A","18 Nov 2003","100 min","Documentary, Music","Simon Hilton, John Lennon, Yoko Ono, Joe Pytka, Bruce Westcott","N/A","John Lennon, Yoko Ono, Miles Davis, Brian Epstein","The DVD featured never-before-seen footage from the Lennon/Ono archive, rare newsreel and private footage, 15 new and newly remastered music videos, 5.1 surround sound, new animations of Lennon's drawings and an extensive photo gallery.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTk0NjM1NTczOF5BMl5BanBnXkFtZTcwMTU0NTQyMQ@@._V1_SX300.jpg","Internet Movie Database","7.9/10","N/A","7.9","141","tt0474771","movie","18 Nov 2003","N/A","N/A","N/A","True","",""
"294","Oasis","2002","N/A","07 May 2004","133 min","Drama, Romance","Chang-dong Lee","Chang-dong Lee","Kyung-gu Sol, So-Ri Moon, Nae-sang Ahn, Seung-wan Ryoo","An irresponsible and childish ex-con befriends a girl with cerebral palsy and develops a progressively stronger bond with her.","Korean","South Korea","23 wins & 2 nominations.","https://m.media-amazon.com/images/M/MV5BZjYwNGYwM2ItZGFmMy00ZjdiLWJjNWMtNTA4YjA1MTc0OTdiXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg","Internet Movie Database","7.9/10","79","7.9","7,983","tt0320193","movie","N/A","N/A","Dream Venture Capital, UniKorea Pictures, East Film Company","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","90%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","79/100","","","","","","","","","","","",""
"295","Ace Ventura: When Nature Calls","1995","PG-13","10 Nov 1995","90 min","Adventure, Comedy, Crime","Steve Oedekerk","Jack Bernstein (characters), Steve Oedekerk","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi","Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.","English","USA","7 wins & 6 nominations.","https://m.media-amazon.com/images/M/MV5BNGFiYTgxZDctNGI4OS00MWU1LWIwOGUtZmMyNGQxYjVkZjQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.4/10","45","6.4","200,074","tt0112281","movie","N/A","N/A","Warner Brothers, Morgan Creek Productions","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","30%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","45/100","","","","","","","","","","","",""
"296","In His Life: The John Lennon Story","2000","PG-13","03 Dec 2000","85 min","Biography, Drama, Music","David Carson","Michael O'Hara","Philip McQuillan, Daniel McGowan, Mark Rice-Oxley, Jamie Glover","A film about the early life of the rock musician and his burgeoning career as a member of the Beatles.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BZDFkMzQ2NmUtODliNy00ZWE0LTk5YzItMWQ3YTAwMDA5YWFhXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg","Internet Movie Database","6.0/10","N/A","6.0","550","tt0270430","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","61%","","","","","","","","","","","",""
"297","The Hebrew Hammer","2003","R","25 Mar 2004","85 min","Comedy","Jonathan Kesselman","Jonathan Kesselman","Adam Goldberg, Judy Greer, Andy Dick, Mario Van Peebles","An orthodox Jewish blaxploitation hero saves Hanukkah from the clutches of Santa Claus' evil son.","English, Hebrew, Yiddish","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTQ4NzUzNDMxNl5BMl5BanBnXkFtZTcwNzA1NjQyMQ@@._V1_SX300.jpg","Internet Movie Database","6.1/10","41","6.1","4,554","tt0317640","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","46%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","41/100","","","","","","","","","","","",""
"299","Bridget Jones's Diary","2001","R","13 Apr 2001","97 min","Comedy, Drama, Romance","Sharon Maguire","Helen Fielding (novel), Helen Fielding (screenplay), Andrew Davies (screenplay), Richard Curtis (screenplay)","Renée Zellweger, Gemma Jones, Celia Imrie, James Faulkner","Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.","English","UK, France, USA","Nominated for 1 Oscar. Another 8 wins & 30 nominations.","https://m.media-amazon.com/images/M/MV5BYjc3NjU1ZTEtNmNjNi00YzNiLWI3OWQtMTJmYTRkZDc1NDE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","6.7/10","66","6.7","220,353","tt0243155","movie","N/A","N/A","Columbia, Universal Pictures, Miramax","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","80%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","66/100","","","","","","","","","","","",""
"301","Hard Ground","2003","N/A","12 Jul 2003","93 min","Western","Frank Q. Dobbs","Frank Q. Dobbs, David S. Cass Sr.","Burt Reynolds, Bruce Dern, Amy Jo Johnson, Seth Peterson","Billy Bucklin escapes while being transported to Yuma prison and plans to form an army of desperadoes to control the Mexican border. To finance his band, he robs a stagecoach, kidnaps a ...","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjc3YzJhY2QtNTVlNC00MTQyLTgwYTAtYTU1NzEwNTY2YmY5XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg","Internet Movie Database","5.8/10","N/A","5.8","365","tt0349529","movie","N/A","N/A","Columbia","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","43%","","","","","","","","","","","",""
"303","Les liaisons dangereuses","1959","N/A","18 Dec 1961","106 min","Drama, Romance","Roger Vadim","Claude Brulé (adaptation), Choderlos de Laclos (novel), Roger Vadim (adaptation), Roger Vailland (dialogue & adaption), Roger Vailland (screenplay)","Jeanne Moreau, Gérard Philipe, Annette Stroyberg, Madeleine Lambert","Juliette Merteuil and Valmont is a sophisticated couple, always looking for fun and excitement. Both have sexual affairs with others and share their experiences with one another. But there ...","French","France, Italy","N/A","https://m.media-amazon.com/images/M/MV5BZTVhZTI0ZmQtOWE1ZC00ZjFlLTkyMmItZmRkZGRmYmNmMmQ0XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_SX300.jpg","Internet Movie Database","6.9/10","N/A","6.9","1,123","tt0053002","movie","N/A","N/A","N/A","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","88%","","","","","","","","","","","",""
"305","Jack","1996","PG-13","09 Aug 1996","113 min","Comedy, Drama, Fantasy","Francis Ford Coppola","James DeMonaco, Gary Nadeau","Robin Williams, Diane Lane, Brian Kerwin, Jennifer Lopez","Because of an unusual disorder that has aged him four times faster than a typical human being, a boy looks like a 40-year-old man as he starts fifth grade at public school after being homeschooled.","English, Spanish","USA","6 nominations.","https://m.media-amazon.com/images/M/MV5BZDYyYzAyNjctODM1Mi00ZjE4LWFmNTItZjRmOWUxODA1ODY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","5.8/10","31","5.8","55,538","tt0116669","movie","N/A","N/A","Hollywood Pictures, American Zoetrope","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","18%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","31/100","","","","","","","","","","","",""
"307","Godsmack: Smack This!","2002","UNRATED","09 Apr 2002","75 min","Music","Ian T. Barrett","N/A","Sully Erna, Godsmack, Lorelei Mahoney, Robbie Merrill","A live concert DVD recorded over a period of 5 years.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BZWQxYzRhN2EtNWY4OC00M2YyLTg2OTMtMDk2YjIwZWE2ZTlhXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg","Internet Movie Database","6.2/10","N/A","6.2","12","tt0888498","movie","17 Aug 2004","N/A","N/A","N/A","True","",""
"308","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"309","The Day of the Locust","1975","R","12 Jun 1975","144 min","Drama, Thriller","John Schlesinger","Nathanael West (novel), Waldo Salt (screenplay)","Donald Sutherland, Karen Black, Burgess Meredith, William Atherton","An art director in the 1930s falls in love and attempts to make a young woman an actress despite Hollywood who wants nothing to do with her because of her problems with an estranged man and her alcoholic father.","English, Spanish, French, German","USA","Nominated for 2 Oscars. Another 2 wins & 4 nominations.","https://m.media-amazon.com/images/M/MV5BNWEyYjM4N2EtZDdjYS00YWJhLTk0N2ItZTNlOTdlMWI2OWU4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","5,028","tt0072848","movie","N/A","N/A","Paramount Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","60%","","","","","","","","","","","",""
"311","Ed Wood","1994","R","07 Oct 1994","127 min","Biography, Comedy, Drama","Tim Burton","Rudolph Grey (book), Scott Alexander, Larry Karaszewski","Johnny Depp, Martin Landau, Sarah Jessica Parker, Patricia Arquette","Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.","English","USA","Won 2 Oscars. Another 25 wins & 34 nominations.","https://m.media-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","Internet Movie Database","7.8/10","70","7.8","163,362","tt0109707","movie","N/A","N/A","Touchstone Pictures","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","92%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","70/100","","","","","","","","","","","",""
"312","High Fidelity","2000","R","31 Mar 2000","113 min","Comedy, Drama, Music, Romance","Stephen Frears","Nick Hornby (book), D.V. DeVincentis (screenplay), Steve Pink (screenplay), John Cusack (screenplay), Scott Rosenberg (screenplay)","John Cusack, Iben Hjejle, Todd Louiso, Jack Black","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.","English, Danish","UK, USA","Nominated for 1 Golden Globe. Another 3 wins & 21 nominations.","https://m.media-amazon.com/images/M/MV5BMTgxMTI1ODYyOV5BMl5BanBnXkFtZTYwNjQyOTI3._V1_SX300.jpg","Internet Movie Database","7.5/10","79","7.5","166,041","tt0146882","movie","N/A","N/A","Touchstone Pictures, New Crime Productions, Dogstar Films","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","91%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","79/100","","","","","","","","","","","",""
